,holiday,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density
18833,7,276.11,0.0,0.0,1,7,6054
44432,7,303.07,0.0,0.0,75,15,3821
41904,7,270.67,0.0,0.0,1,10,4349
4682,7,277.21,0.0,0.0,90,10,3166
38013,7,279.75,0.0,0.0,75,8,3047
44026,7,288.5,0.0,0.0,90,13,4769
9279,7,286.88,0.0,0.0,90,5,860
1778,7,278.49,0.0,0.0,40,13,5727
21059,7,256.94,0.0,0.0,75,7,6390
19692,7,272.07,0.0,0.0,90,16,2939
1996,7,271.92,0.0,0.0,75,11,5297
23904,7,291.7,0.76,0.0,90,13,5185
27750,7,289.29,0.0,0.0,1,14,4743
3084,7,256.15,0.0,0.0,75,10,3339
27278,7,279.532,0.0,0.0,92,7,5871
47441,7,292.18,0.28,0.0,90,4,882
29781,7,253.21,0.0,0.0,90,4,782
27091,7,287.87,0.3,0.0,64,10,4089
16022,7,299.5,0.0,0.0,1,15,5833
31267,7,269.62,0.0,0.0,90,11,4363
14978,7,285.67,1.76,0.0,92,10,4260
13726,7,273.23,0.25,0.0,90,11,4931
230,7,281.84,0.0,0.0,75,14,5758
14680,7,293.11,12.45,0.0,90,11,4549
18108,7,290.54,0.0,0.0,90,13,4945
15355,7,296.39,0.0,0.0,8,13,5286
16926,7,294.58,13.32,0.0,90,8,5045
35374,7,291.82,0.0,0.0,1,5,586
22737,7,285.88,0.0,0.0,75,13,4779
5274,7,273.36,0.0,0.0,90,6,4931
18568,7,292.96,0.0,0.0,90,16,6454
41501,7,275.43,0.0,0.0,1,13,5027
42330,7,271.07,0.0,0.0,1,10,4511
44789,7,295.07,0.0,0.0,90,14,5936
40195,7,256.61,0.0,0.0,90,15,4767
38648,7,275.88,0.0,0.0,90,11,4563
16169,7,292.17,0.0,0.0,1,13,4462
2791,7,273.67,0.0,0.0,90,16,6394
35829,7,302.15,0.0,0.0,75,16,6304
10080,7,265.15,0.0,0.0,1,13,5020
39676,7,271.15,0.0,0.0,90,6,5061
30887,7,256.49,0.0,0.0,1,6,5706
19963,7,277.01,0.0,0.0,90,4,289
41472,7,267.53,0.0,0.0,40,12,4825
16214,7,294.18,0.0,0.0,1,10,3721
29354,7,274.39,0.0,0.0,5,13,5313
32419,7,274.37,0.0,0.0,40,7,6723
9624,7,276.82,0.0,0.0,90,12,5126
41469,7,263.0,0.0,0.0,90,9,5060
39192,7,276.01,0.0,0.0,5,12,3169
25208,7,300.04,0.0,0.0,75,13,100
35913,7,286.43,0.0,0.0,90,14,5447
