,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
18833,None,276.11,0.0,0.0,1,Mist,mist,10/7/2015 7:00,6054,very high
44432,None,303.07,0.0,0.0,75,Clouds,broken clouds,5/27/2018 15:00,3821,medium
41904,None,270.67,0.0,0.0,1,Mist,mist,2/27/2018 10:00,4349,medium
4682,None,277.21,0.0,0.0,90,Mist,mist,3/31/2013 10:00,3166,medium
48199,None,283.45,0.0,0.0,75,Clouds,broken clouds,9/30/2018 19:00,3543,medium
30239,None,276.08,0.0,0.0,75,Clouds,broken clouds,1/19/2017 18:00,4600,high
1473,None,271.25,0.0,0.0,90,Clouds,overcast clouds,11/26/2012 0:00,524,very low
24023,None,290.8,0.0,0.0,40,Haze,haze,6/7/2016 21:00,2806,low
38013,None,279.75,0.0,0.0,75,Clouds,broken clouds,10/14/2017 8:00,3047,medium
44026,None,288.5,0.0,0.0,90,Clouds,overcast clouds,5/12/2018 13:00,4769,high
9279,None,286.88,0.0,0.0,90,Mist,mist,10/5/2013 5:00,860,very low
292,None,284.03,0.0,0.0,93,Mist,mist,10/14/2012 20:00,2718,low
1778,None,278.49,0.0,0.0,40,Clouds,scattered clouds,12/7/2012 13:00,5727,high
44465,None,299.07,0.0,0.0,1,Rain,light rain,5/28/2018 21:00,2338,low
6533,None,295.46,0.0,0.0,40,Clouds,scattered clouds,5/30/2013 19:00,3479,medium
21059,None,256.94,0.0,0.0,75,Mist,mist,2/5/2016 7:00,6390,very high
19692,None,272.07,0.0,0.0,90,Mist,mist,11/26/2015 16:00,2939,medium
25960,None,294.69,1.52,0.0,1,Drizzle,light intensity drizzle,8/23/2016 21:00,2298,low
14075,None,286.96,0.0,0.0,40,Clouds,scattered clouds,5/6/2014 23:00,3457,medium
37881,None,285.15,0.0,0.0,1,Clear,sky is clear,10/8/2017 23:00,955,very low
1996,None,271.92,0.0,0.0,75,Clouds,broken clouds,12/14/2012 11:00,5297,high
2695,None,269.17,0.0,0.0,20,Clouds,few clouds,1/5/2013 17:00,4230,medium
23904,None,291.7,0.76,0.0,90,Drizzle,light intensity drizzle,6/3/2016 13:00,5185,high
30052,None,257.22,0.0,0.0,1,Clear,sky is clear,1/15/2017 0:00,1341,very low
27750,None,289.29,0.0,0.0,1,Clear,sky is clear,11/1/2016 14:00,4743,high
