,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density,holiday_0,holiday_1,holiday_2,holiday_3,holiday_4,holiday_5,holiday_6,holiday_7,holiday_8,holiday_9,holiday_10,holiday_11
12819,282.72,0.0,0.0,1,15,5630,0,0,0,0,0,0,0,1,0,0,0,0
19291,285.36,0.0,0.0,75,10,4477,0,0,0,0,0,0,0,1,0,0,0,0
39188,266.75,0.0,0.0,5,8,1267,0,0,0,0,0,0,0,1,0,0,0,0
35908,286.22,0.0,0.0,90,12,5009,0,0,0,0,0,0,0,1,0,0,0,0
34804,290.01,0.0,0.0,75,17,4307,0,0,0,0,0,0,0,1,0,0,0,0
30208,272.96,0.0,0.0,1,2,433,0,0,0,0,0,0,0,1,0,0,0,0
42579,275.86,0.0,0.0,90,22,2928,0,0,0,0,0,0,0,1,0,0,0,0
1792,268.89,0.0,0.0,40,3,356,0,0,0,0,0,0,0,1,0,0,0,0
18264,295.1,0.0,0.0,1,23,932,0,0,0,0,0,0,0,1,0,0,0,0
17725,285.12,0.0,0.0,1,0,608,0,0,0,0,0,0,0,1,0,0,0,0
26579,288.13,0.0,0.0,1,11,4405,0,0,0,0,0,0,0,1,0,0,0,0
19689,272.08,0.0,0.0,90,14,3002,0,0,0,0,0,0,0,1,0,0,0,0
30527,267.61,0.0,0.0,90,3,390,0,0,0,0,0,0,0,1,0,0,0,0
32799,282.09,0.0,0.0,75,3,315,0,0,0,0,0,0,0,1,0,0,0,0
4864,281.11,0.0,0.0,90,16,4241,0,0,0,0,0,0,0,1,0,0,0,0
806,270.91,0.0,0.0,1,1,453,0,0,0,0,0,0,0,1,0,0,0,0
20872,277.22,0.0,0.0,90,18,4689,0,0,0,0,0,0,0,1,0,0,0,0
11808,247.15,0.0,0.0,1,9,3570,0,0,0,0,0,0,0,1,0,0,0,0
25195,296.58,1.02,0.0,90,3,3,0,0,0,0,0,0,0,1,0,0,0,0
16519,296.05,0.0,0.0,40,10,4083,0,0,0,0,0,0,0,1,0,0,0,0
6767,283.35,0.25,0.0,92,8,5620,0,0,0,0,0,0,0,1,0,0,0,0
22474,294.88,0.0,0.0,40,12,5816,0,0,0,0,0,0,0,1,0,0,0,0
8765,283.36,0.0,0.0,0,1,333,0,0,0,0,0,0,0,1,0,0,0,0
34796,290.8,0.0,0.0,40,13,4564,0,0,0,0,0,0,0,1,0,0,0,0
23296,285.84,0.0,0.0,90,17,6049,0,0,0,0,0,0,0,1,0,0,0,0
25464,304.15,0.0,0.0,24,14,4382,0,0,0,0,0,0,0,1,0,0,0,0
44307,289.23,0.0,0.0,1,2,303,0,0,0,0,0,0,0,1,0,0,0,0
34162,295.88,0.0,0.0,5,16,6471,0,0,0,0,0,0,0,1,0,0,0,0
31157,286.832,0.0,0.0,92,12,4313,0,0,0,0,0,0,0,1,0,0,0,0
36896,295.86,0.0,0.0,40,14,4309,0,0,0,0,0,0,0,1,0,0,0,0
12158,250.63,0.0,0.0,1,23,903,0,0,0,0,0,0,0,1,0,0,0,0
18901,279.3,0.0,0.0,1,22,2061,0,0,0,0,0,0,0,1,0,0,0,0
39432,275.08,0.0,0.0,1,10,3515,0,0,0,0,0,0,0,1,0,0,0,0
34346,291.53,0.0,0.0,40,5,3193,0,0,0,0,0,0,0,1,0,0,0,0
30848,268.15,0.0,0.0,90,15,5350,0,0,0,0,0,0,0,1,0,0,0,0
44310,288.95,0.0,0.0,1,5,2989,0,0,0,0,0,0,0,1,0,0,0,0
34592,293.9,0.0,0.0,1,23,384,0,0,0,0,0,0,0,1,0,0,0,0
