,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density,holiday_0,holiday_1,holiday_2,holiday_3,holiday_4,holiday_5,holiday_6,holiday_7,holiday_8,holiday_9,holiday_10,holiday_11
15993,297.91,0.0,0.0,92,19,3378,0,0,0,0,0,0,0,1,0,0,0,0
41792,256.21,0.0,0.0,90,7,1836,0,0,0,0,0,0,0,1,0,0,0,0
37872,294.58,0.0,0.0,40,14,4569,0,0,0,0,0,0,0,1,0,0,0,0
42998,262.75,0.0,0.0,1,1,657,0,0,0,0,0,0,0,1,0,0,0,0
30110,272.08,0.0,0.0,90,18,3391,0,0,0,0,0,0,0,1,0,0,0,0
41351,261.61,0.0,0.0,75,12,4896,0,0,0,0,0,0,0,1,0,0,0,0
27689,279.26099999999997,0.0,0.0,48,1,708,0,0,0,0,0,0,0,1,0,0,0,0
44615,288.14,0.0,0.0,90,9,3707,0,0,0,0,0,0,0,1,0,0,0,0
1854,272.18,0.0,0.0,90,6,3902,0,0,0,0,0,0,0,1,0,0,0,0
10237,271.37,0.0,0.0,64,10,3358,0,0,0,0,0,0,0,1,0,0,0,0
1120,291.57,0.0,0.0,90,20,2173,0,0,0,0,0,0,0,1,0,0,0,0
17371,305.62,0.0,0.0,0,15,5660,0,0,0,0,0,0,0,1,0,0,0,0
21801,285.08,0.0,0.0,90,5,2683,0,0,0,0,0,0,0,1,0,0,0,0
12937,271.07,0.0,0.0,90,13,4734,0,0,0,0,0,0,0,1,0,0,0,0
15071,300.18,0.0,0.0,0,18,4846,0,0,0,0,0,0,0,1,0,0,0,0
23817,292.85,0.0,0.0,75,3,534,0,0,0,0,0,0,0,1,0,0,0,0
13817,286.68,0.0,0.0,75,8,5803,0,0,0,0,0,0,0,1,0,0,0,0
46010,291.35,0.0,0.0,90,5,2822,0,0,0,0,0,0,0,1,0,0,0,0
37804,286.15,0.0,0.0,90,20,3137,0,0,0,0,0,0,0,1,0,0,0,0
26755,293.89,0.0,0.0,12,11,4220,0,0,0,0,0,0,0,1,0,0,0,0
27961,281.59,0.0,0.0,1,2,422,0,0,0,0,0,0,0,1,0,0,0,0
6240,289.78,0.0,0.0,90,7,6588,0,0,0,0,0,0,0,1,0,0,0,0
47502,284.41,0.0,0.0,1,5,2942,0,0,0,0,0,0,0,1,0,0,0,0
27095,297.04,0.0,0.0,64,14,5155,0,0,0,0,0,0,0,1,0,0,0,0
7474,302.03,0.0,0.0,32,13,3897,0,0,0,0,0,0,0,1,0,0,0,0
12587,263.27,0.0,0.0,90,17,5557,0,0,0,0,0,0,0,1,0,0,0,0
24392,287.07,0.0,0.0,68,6,5844,0,0,0,0,0,0,0,1,0,0,0,0
21356,271.28,0.0,0.0,90,16,6898,0,0,0,0,0,0,0,1,0,0,0,0
8329,291.75,0.0,0.0,0,22,3183,0,0,0,0,0,0,0,1,0,0,0,0
23860,290.51,0.0,0.0,90,19,3538,0,0,0,0,0,0,0,1,0,0,0,0
44022,282.4,0.0,0.0,75,9,3792,0,0,0,0,0,0,0,1,0,0,0,0
34425,289.55,0.0,0.0,90,10,2709,0,0,0,0,0,0,0,1,0,0,0,0
12715,263.53,0.0,0.0,1,6,5853,0,0,0,0,0,0,0,1,0,0,0,0
14070,290.69,0.0,0.0,88,18,4644,0,0,0,0,0,0,0,1,0,0,0,0
45576,295.96,0.0,0.0,1,23,1936,0,0,0,0,0,0,0,1,0,0,0,0
19966,277.01,0.0,0.0,90,6,707,0,0,0,0,0,0,0,1,0,0,0,0
32326,281.21,0.0,0.0,90,8,5958,0,0,0,0,0,0,0,1,0,0,0,0
34296,283.78,0.0,0.0,1,6,6013,0,0,0,0,0,0,0,1,0,0,0,0
