Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
10.03.04,23:00:00,1.2,4.7,96,11.2,59.2,30.00275671,56.85628797
10.03.04,22:00:00,1.6,6.5,116,11.2,59.6,26.90851606,56.55333344
10.03.04,19:00:00,2,9.4,92,13.3,47.7,25.1177246,53.98322107
10.03.04,18:00:00,2.6,11.9,113,13.6,48.9,48.59823548,57.42856746
10.03.04,21:00:00,2.2,9.2,122,11,60,41.03858657,59.38742737
10.03.04,20:00:00,2.2,9,114,11.9,54,47.04572787,57.57095402
11.03.04,23:00:00,1,2.6,53,8.2,60.8,32.51153547,58.87588361
11.03.04,22:00:00,1.5,4.7,85,8.2,63.4,23.78120606,50.9841185
11.03.04,3:00:00,0.6,1.7,-200,10.3,60.2,37.81025568,59.08943074
11.03.04,4:00:00,-200,1.3,34,10.1,60.5,44.02220557,53.27735474
11.03.04,6:00:00,0.7,1.6,48,10.5,58.1,34.4778743,51.23577014
11.03.04,5:00:00,0.7,1.1,28,11,56.2,41.55600608,52.41640396
11.03.04,2:00:00,0.9,2.3,60,10.7,59.7,39.34447955,54.73830367
11.03.04,1:00:00,1,3.3,76,10.7,60,47.61181038,54.78568359
11.03.04,7:00:00,1.1,3.2,82,10.2,59.6,34.84078889,52.2579335
11.03.04,11:00:00,1.5,5,92,10.5,57.9,48.20267501,56.16959684
11.03.04,0:00:00,1.2,3.6,77,11.3,56.8,50.26155162,53.51020952
11.03.04,10:00:00,1.7,6.3,98,10.8,58.4,39.89489335,50.26589337
11.03.04,12:00:00,1.6,5.2,95,9.5,66.8,43.69074933,60.70693806
11.03.04,13:00:00,1.9,7.3,112,8.3,76.4,25.56867943,56.07807724
11.03.04,16:00:00,2.2,8.3,131,9.7,71.2,46.33684195,60.80378756
11.03.04,15:00:00,2.2,8.8,126,8.3,79.8,38.02465363,50.36095263
11.03.04,21:00:00,3.9,12.8,136,9.1,64,22.89370269,56.77953492
11.03.04,8:00:00,2,8,112,10.8,57.4,46.54165554,57.58190244
11.03.04,9:00:00,2.2,9.5,101,10.5,60.6,36.87621795,57.16344296
11.03.04,14:00:00,2.9,11.5,128,8,81.1,42.90079247,59.08102129
11.03.04,17:00:00,2.9,11.2,135,9.8,67.6,49.39814731,54.40276279
11.03.04,18:00:00,4.8,20.8,151,10.3,64.2,20.38681045,59.18925243
11.03.04,20:00:00,6.1,24,165,9.6,67.8,45.15958535,52.55458219
11.03.04,19:00:00,6.9,27.4,172,9.7,69.3,40.49864567,56.20048283
12.03.04,4:00:00,-200,1.1,32,6.1,65.9,24.97804034,54.40063745
12.03.04,5:00:00,0.6,1,44,6.3,65,45.3152533,58.82454421
12.03.04,3:00:00,0.8,1.9,-200,7,62.3,21.1872315,57.88251092
12.03.04,6:00:00,0.8,1.8,71,6.8,62.9,20.06541652,54.14697056
12.03.04,2:00:00,1.4,4.1,91,7.1,61.8,37.9850456,60.65874397
12.03.04,1:00:00,1.9,6.4,110,7.7,59.7,27.22908934,52.68753838
12.03.04,0:00:00,1.7,5.9,97,8.3,58.5,23.53694995,58.84101365
12.03.04,7:00:00,1.4,4.4,104,6.4,65.1,39.13739635,54.04567306
12.03.04,12:00:00,2.1,10.2,113,15,36.5,43.2909806,50.25515601
12.03.04,13:00:00,2.5,11,116,16.1,34.5,33.60978521,59.19740879
12.03.04,11:00:00,2.7,11.6,143,14.3,38.4,40.48583547,55.55555432
12.03.04,17:00:00,2.4,11.7,119,16.9,34.3,35.16642456,51.04520518
12.03.04,14:00:00,2.7,12.8,123,16.3,35.7,50.82151313,53.87399004
12.03.04,16:00:00,2.8,12.7,120,15.9,37.2,37.25957247,50.3012818
12.03.04,10:00:00,3.1,14,122,13.2,41.7,20.63446429,57.05008506
12.03.04,15:00:00,2.9,14.2,126,15.8,37,21.09169439,59.27570633
12.03.04,22:00:00,3.5,14.3,139,11,59.1,48.53105182,59.34977674
12.03.04,18:00:00,3.9,19.3,149,15.1,39.6,50.84196243,59.67311612
12.03.04,19:00:00,3.7,18.2,145,14.4,43.4,37.29440799,57.69835994
12.03.04,9:00:00,-200,22.1,-200,9.2,56.2,48.91775969,55.74500443
12.03.04,8:00:00,4.4,17.9,141,7.3,63.1,28.02018927,55.85884761
12.03.04,21:00:00,4.4,20.1,149,12.1,53.3,20.49277786,53.42184626
12.03.04,23:00:00,5.4,21.8,134,9.7,64.6,27.74028076,55.45235189
12.03.04,20:00:00,6.6,32.6,170,12.9,50.5,45.75107989,60.02012102
13.03.04,5:00:00,1,2.6,65,8.3,63.6,32.91571516,59.95661832
13.03.04,6:00:00,1.2,2.9,60,7.2,67.5,30.03901633,58.37014235
13.03.04,7:00:00,1.5,5.1,77,6.3,71.9,44.92194737,53.25405223
13.03.04,4:00:00,-200,6.2,83,7,71.1,21.20742698,50.58580122
13.03.04,3:00:00,1.7,5.4,-200,7.8,67.5,32.88292008,56.7784956
13.03.04,2:00:00,1.6,5.4,82,8.8,63.9,24.61828378,54.19689047
13.03.04,1:00:00,1.9,7.4,97,9.1,63.9,31.28223523,60.03379343
13.03.04,14:00:00,2,8.6,102,18,34.8,26.14754326,58.71125372
13.03.04,15:00:00,2,9.2,116,18.4,33.6,20.93788927,51.00923472
13.03.04,0:00:00,2.7,9.6,113,9.5,64.1,39.51372853,58.13402924
13.03.04,16:00:00,2.5,10.2,124,17.6,35.1,36.17819114,53.93124824
13.03.04,17:00:00,2.3,10.6,125,16.7,37.8,21.57600853,51.08250695
13.03.04,13:00:00,2.8,12.3,124,19.4,31.3,48.02569245,50.49689897
13.03.04,8:00:00,2.7,11.8,96,6.5,71.6,25.71633795,55.23135778
13.03.04,9:00:00,3.7,15.1,119,9.6,59.7,35.5065547,51.74483208
13.03.04,23:00:00,2.6,10.9,130,14.7,49.3,39.58492117,57.06300284
13.03.04,22:00:00,3.1,13.1,143,14.6,48.6,42.69824756,52.76959004
13.03.04,10:00:00,3.2,12.9,126,12.4,51.2,21.1455511,55.53017702
13.03.04,12:00:00,3.6,14,161,18.4,33.8,21.53937614,60.92056046
13.03.04,18:00:00,3.2,15.5,148,16.1,41,33.13135829,57.82884892
13.03.04,11:00:00,4.1,16.1,158,15.6,42.2,43.92950759,55.45553332
13.03.04,19:00:00,4.2,19.6,165,15.8,42.4,28.90510404,51.98995406
13.03.04,20:00:00,4.2,19.2,161,15.7,44.1,35.44657918,54.64491205
13.03.04,21:00:00,4.2,18.3,159,15.3,46.8,28.04129073,59.93359746
14.03.04,7:00:00,0.9,2.4,67,10.4,67.6,36.8982015,58.28979107
14.03.04,5:00:00,1.2,3.7,70,11.5,63.1,22.35897202,52.63218537
14.03.04,6:00:00,1,2.5,63,11.6,62.2,41.31899229,57.04694652
14.03.04,4:00:00,-200,5.2,82,12.1,61.1,34.66929165,55.04864414
14.03.04,8:00:00,1.4,4.2,84,11.6,62.7,32.72959771,50.45858263
14.03.04,14:00:00,1.8,7.5,102,21.4,30.2,37.29648258,58.83838239
14.03.04,9:00:00,1.6,6.4,83,12.4,60,27.40199974,53.56598386
14.03.04,15:00:00,1.9,8.2,107,21.9,29,32.75705908,59.38927829
14.03.04,13:00:00,2,7.5,104,21.2,31.4,20.06168394,56.17161681
14.03.04,22:00:00,2.1,9,121,16.3,51,26.11374064,57.90599198
14.03.04,10:00:00,2.2,8.6,98,14.5,53.1,20.49493002,51.59962272
14.03.04,3:00:00,2.4,9.7,-200,11.6,63.4,42.68885887,53.98047575
14.03.04,23:00:00,2.2,8.8,119,14.7,55.9,22.59235631,52.31511657
14.03.04,2:00:00,2.5,8.6,104,12.5,58.9,46.39023566,51.6029003
14.03.04,12:00:00,2.8,10.7,119,19.3,38.3,29.49197306,51.45964189
14.03.04,17:00:00,2.9,12,128,21.3,30.8,41.88060508,59.62651408
14.03.04,11:00:00,2.8,10.9,114,16.9,46.1,49.13273986,52.38482753
14.03.04,16:00:00,3,11.9,129,22.2,28.4,22.08459852,59.68157374
14.03.04,18:00:00,2.5,12.2,121,19.7,36.7,23.45816244,59.43261169
14.03.04,1:00:00,2.8,11.9,119,14.6,51.5,28.52243308,52.66225839
14.03.04,0:00:00,2.9,11,129,13.9,53.6,46.00795806,60.81031731
14.03.04,21:00:00,3.4,14.7,146,16.7,49.6,41.84882785,58.28063678
14.03.04,19:00:00,4.6,20.6,157,18.4,41.7,33.13990173,54.85894242
14.03.04,20:00:00,5.9,23.1,173,17.6,46.1,35.85184141,51.35748733
15.03.04,5:00:00,1,3.9,74,11.9,67.4,46.98305284,53.89120163
15.03.04,4:00:00,-200,4,71,12.3,65.4,41.58350538,59.69897805
15.03.04,3:00:00,1.1,4.4,-200,12.6,63.5,49.48382019,56.05920549
15.03.04,23:00:00,1.4,6.9,101,15.3,61.4,36.28890556,60.8260689
15.03.04,6:00:00,1.4,6.4,80,11.4,70.5,42.87789087,60.80136841
