,Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
4696,22.09.04,14:00:00,2.2,12.1,117,28.5,37.3,,
3381,29.07.04,10:00:00,-200.0,17.9,171,31.8,19.4,,
523,01.04.04,22:00:00,2.0,9.9,113,15.8,48.0,88.27672398,101.2115858
4162,31.08.04,1:00:00,-200.0,4.7,-200,23.5,58.3,,
4064,27.08.04,20:00:00,2.4,-200.0,124,-200.0,-200.0,,
2198,10.06.04,23:00:00,2.7,14.2,115,25.5,34.1,,
7644,23.01.05,3:00:00,-200.0,5.9,-200,4.7,46.6,,
3105,18.07.04,3:00:00,0.8,3.8,-200,24.7,36.4,,
6094,19.11.04,10:00:00,5.6,16.7,193,16.1,59.2,,
4811,27.09.04,12:00:00,1.6,8.3,95,21.9,30.7,,
2840,07.07.04,5:00:00,0.5,4.0,53,24.0,37.8,,
7521,18.01.05,2:00:00,1.0,3.4,105,3.2,58.8,,
1749,22.05.04,9:00:00,2.2,11.7,102,20.6,47.1,128.7895645,67.49387437
7082,30.12.04,21:00:00,-200.0,5.5,-200,8.7,44.3,,
1358,06.05.04,21:00:00,1.6,6.6,93,12.3,66.4,57.54929216,137.79479619999998
4837,28.09.04,23:00:00,1.1,5.7,85,18.6,49.1,,
6423,03.12.04,12:00:00,3.0,14.9,144,16.4,72.1,,
6823,20.12.04,6:00:00,0.6,0.7,39,8.6,58.8,,
4401,10.09.04,5:00:00,0.5,3.6,55,22.4,43.5,,
4273,04.09.04,8:00:00,1.9,11.0,-200,23.4,51.6,,
299,23.03.04,1:00:00,0.8,2.7,64,14.0,51.3,77.24714822,120.4319621
3478,02.08.04,23:00:00,0.1,9.4,93,27.1,49.4,,
1293,03.05.04,21:00:00,2.0,9.8,100,18.7,64.6,50.661736600000005,129.79551999999998
2701,01.07.04,21:00:00,1.9,10.2,111,28.7,34.7,,
1728,21.05.04,10:00:00,2.8,17.1,148,26.5,27.0,123.6791483,64.63646381
4376,09.09.04,3:00:00,0.3,2.3,-200,23.0,33.0,,
6320,29.11.04,22:00:00,1.2,4.0,78,16.3,59.7,,
4824,27.09.04,20:00:00,3.5,14.9,145,19.1,36.8,,
7269,07.01.05,22:00:00,3.9,15.4,146,5.5,83.5,,
9023,21.03.05,21:00:00,3.8,14.3,183,15.3,61.0,,
4754,24.09.04,14:00:00,4.2,24.0,145,25.6,48.3,,
2370,17.06.04,11:00:00,1.7,8.9,117,27.1,38.3,,
6777,18.12.04,16:00:00,0.9,3.6,80,14.9,17.1,,
1779,23.05.04,3:00:00,1.9,12.6,-200,18.1,61.6,117.0488906,62.60552439999999
31,12.03.04,5:00:00,0.6,1.0,44,6.3,65.0,45.3152533,58.82454421
4341,07.09.04,22:00:00,-200.0,10.0,-200,25.4,35.2,,
8592,03.03.05,21:00:00,3.8,10.9,192,4.3,83.6,,
7888,02.02.05,22:00:00,1.8,7.0,193,5.8,42.0,,
1450,10.05.04,1:00:00,-200.0,3.0,-200,14.9,57.6,122.0942524,68.40270192
2219,11.06.04,1:00:00,1.1,7.5,86,24.2,39.5,,
8457,26.02.05,15:00:00,2.6,2.9,108,9.7,45.1,,
2056,04.06.04,12:00:00,-200.0,9.5,-200,27.0,27.8,,
1031,22.04.04,10:00:00,-200.0,20.1,-200,23.7,30.6,182.967,217.0911315
9182,28.03.05,1:00:00,1.2,3.0,101,14.4,78.0,,
1479,11.05.04,13:00:00,2.3,14.4,94,23.8,31.7,129.832755,67.77844608
4495,14.09.04,3:00:00,-200.0,3.9,-200,20.8,62.1,,
5249,15.10.04,19:00:00,-200.0,14.1,-200,20.1,53.6,,
3651,09.08.04,7:00:00,2.3,15.1,63,24.3,63.3,,
8009,07.02.05,16:00:00,1.4,5.0,156,12.0,24.3,,
9293,01.04.05,7:00:00,1.5,6.7,150,13.7,45.9,,
8922,17.03.05,16:00:00,2.2,10.9,161,27.8,20.0,,
2177,09.06.04,14:00:00,2.3,14.0,137,40.6,15.3,,
4584,17.09.04,8:00:00,2.2,9.7,91,19.7,57.8,,
392,27.03.04,1:00:00,1.0,3.2,79,8.6,57.8,77.04812246,103.5764432
5941,13.11.04,6:00:00,1.0,3.8,75,15.2,61.8,,
1755,22.05.04,18:00:00,2.8,13.9,110,25.2,40.1,115.17092079999999,61.87706239
4930,02.10.04,2:00:00,-200.0,7.1,-200,20.4,64.4,,
1072,24.04.04,15:00:00,1.7,9.0,89,25.6,36.0,170.6890091,211.453506
7704,25.01.05,17:00:00,0.4,3.9,118,5.0,50.4,,
5460,24.10.04,7:00:00,1.5,8.1,48,17.5,76.6,,
3281,25.07.04,12:00:00,0.8,3.0,54,28.2,42.6,,
480,30.03.04,13:00:00,3.4,17.1,128,22.4,20.0,76.4321213,104.6193892
6274,27.11.04,4:00:00,2.4,9.1,103,11.9,80.7,,
612,05.04.04,6:00:00,-200.0,6.2,-200,12.9,65.3,145.47397769999998,164.87535580000002
9248,31.03.05,23:00:00,0.8,2.1,69,15.1,47.6,,
8603,04.03.05,2:00:00,1.7,4.7,138,3.9,80.9,,
9291,01.04.05,9:00:00,1.3,4.3,127,16.1,41.5,,
3158,20.07.04,15:00:00,-200.0,14.0,132,42.8,12.3,,
4749,24.09.04,11:00:00,3.2,18.4,134,26.6,44.3,,
468,30.03.04,22:00:00,1.2,3.8,81,15.1,44.6,83.09755265,112.0221763
1294,03.05.04,10:00:00,2.5,12.9,111,21.4,45.0,31.47063969,142.6692244
8259,17.02.05,0:00:00,2.7,11.0,192,5.4,43.8,,
339,24.03.04,16:00:00,2.7,11.4,126,9.6,81.1,79.36744774,109.3923875
5532,27.10.04,21:00:00,1.4,8.0,75,17.8,71.2,,
4139,30.08.04,23:00:00,-200.0,7.1,-200,24.6,50.9,,
3226,23.07.04,6:00:00,1.0,8.2,59,25.1,46.5,,
2671,30.06.04,3:00:00,0.7,3.7,-200,26.8,51.9,,
2786,04.07.04,10:00:00,1.0,5.9,68,29.6,37.7,,
5503,26.10.04,5:00:00,0.9,5.9,46,14.8,79.4,,
7736,27.01.05,3:00:00,-200.0,0.8,-200,4.5,39.7,,
2824,06.07.04,0:00:00,1.9,9.8,105,25.4,43.0,,
1662,19.05.04,4:00:00,-200.0,2.2,52,16.3,51.4,114.83299270000002,70.88740193
981,20.04.04,20:00:00,-200.0,20.6,-200,17.9,47.4,182.9871595,205.8875081
5692,02.11.04,18:00:00,7.9,44.1,158,23.0,62.1,,
9356,04.04.05,8:00:00,5.0,22.4,174,13.5,48.9,,
6314,28.11.04,23:00:00,3.1,11.4,122,10.5,75.4,,
5238,15.10.04,3:00:00,-200.0,2.1,-200,15.8,77.6,,
4265,04.09.04,13:00:00,1.8,9.8,-200,37.1,21.2,,
2047,04.06.04,6:00:00,-200.0,3.4,-200,19.2,53.1,,
6639,12.12.04,1:00:00,2.4,11.3,121,8.1,53.2,,
4438,11.09.04,9:00:00,-200.0,10.3,-200,24.0,40.8,,
6568,09.12.04,10:00:00,1.4,4.7,102,14.3,55.4,,
1503,12.05.04,0:00:00,1.7,8.7,88,16.9,58.8,111.0462886,69.89538194
5869,10.11.04,1:00:00,0.7,2.5,-200,6.9,82.3,,
207,19.03.04,12:00:00,2.8,14.0,127,15.5,50.1,41.02600566,52.36263839
4111,29.08.04,7:00:00,-200.0,2.8,-200,21.3,64.1,,
2652,29.06.04,0:00:00,1.5,9.7,80,27.8,40.0,,
8546,01.03.05,21:00:00,2.2,5.3,159,0.8,36.3,,
8560,02.03.05,15:00:00,1.3,6.3,143,10.1,16.7,,
3533,04.08.04,8:00:00,-200.0,26.0,-200,28.3,47.6,,
4524,15.09.04,23:00:00,1.5,8.6,69,22.1,66.5,,
8279,18.02.05,22:00:00,2.4,9.8,190,7.0,44.2,,
373,26.03.04,21:00:00,1.5,6.0,91,9.8,50.8,88.40277729,104.7027302
6840,20.12.04,20:00:00,4.0,11.5,149,7.9,37.1,,
8926,17.03.05,11:00:00,3.0,10.8,196,20.8,31.3,,
6605,10.12.04,18:00:00,4.0,16.5,177,14.6,23.7,,
6002,15.11.04,8:00:00,2.0,8.7,167,10.7,37.9,,
1261,02.05.04,3:00:00,1.6,6.6,-200,14.8,67.6,60.72320415,166.17983080000002
7328,10.01.05,6:00:00,-200.0,3.0,66,13.0,70.3,,
4186,01.09.04,1:00:00,1.3,7.0,79,22.8,58.5,,
4627,19.09.04,22:00:00,1.7,8.5,99,23.6,50.0,,
8553,02.03.05,4:00:00,-200.0,0.7,75,-1.4,44.9,,
3023,14.07.04,21:00:00,2.9,16.7,159,27.8,26.6,,
904,17.04.04,11:00:00,-200.0,6.0,-200,16.8,61.0,177.9741142,211.7662191
7235,06.01.05,8:00:00,1.1,4.0,107,11.4,66.6,,
125,15.03.04,19:00:00,8.0,39.2,187,20.4,42.5,22.94413534,52.54839815
2869,08.07.04,12:00:00,1.4,10.6,115,40.3,15.8,,
8897,16.03.05,13:00:00,2.4,10.9,173,26.1,20.8,,
4978,04.10.04,6:00:00,-200.0,5.6,-200,17.1,71.8,,
4667,21.09.04,0:00:00,0.8,4.4,62,23.5,44.7,,
7034,28.12.04,10:00:00,-200.0,15.3,-200,10.6,67.9,,
716,09.04.04,22:00:00,2.4,-200.0,102,-200.0,-200.0,155.9533706,165.8031756
