,Unnamed: 0,CO,Benzene,NO2,Temperature,Humidity(%),DateTime
0,4696,2.2,12.1,117,28.5,37.3,2004-09-22 14:00:00
2,523,2.0,9.9,113,15.8,48.0,2004-04-01 22:00:00
5,2198,2.7,14.2,115,25.5,34.1,2004-06-10 23:00:00
8,6094,5.6,16.7,193,16.1,59.2,2004-11-19 10:00:00
9,4811,1.6,8.3,95,21.9,30.7,2004-09-27 12:00:00
10,2840,0.5,4.0,53,24.0,37.8,2004-07-07 05:00:00
11,7521,1.0,3.4,105,3.2,58.8,2005-01-18 02:00:00
12,1749,2.2,11.7,102,20.6,47.1,2004-05-22 09:00:00
14,1358,1.6,6.6,93,12.3,66.4,2004-05-06 21:00:00
15,4837,1.1,5.7,85,18.6,49.1,2004-09-28 23:00:00
16,6423,3.0,14.9,144,16.4,72.1,2004-12-03 12:00:00
17,6823,0.6,0.7,39,8.6,58.8,2004-12-20 06:00:00
18,4401,0.5,3.6,55,22.4,43.5,2004-09-10 05:00:00
21,3478,0.1,9.4,93,27.1,49.4,2004-08-02 23:00:00
22,1293,2.0,9.8,100,18.7,64.6,2004-05-03 21:00:00
23,2701,1.9,10.2,111,28.7,34.7,2004-07-01 21:00:00
24,1728,2.8,17.1,148,26.5,27.0,2004-05-21 10:00:00
26,6320,1.2,4.0,78,16.3,59.7,2004-11-29 22:00:00
27,4824,3.5,14.9,145,19.1,36.8,2004-09-27 20:00:00
28,7269,3.9,15.4,146,5.5,83.5,2005-01-07 22:00:00
29,9023,3.8,14.3,183,15.3,61.0,2005-03-21 21:00:00
30,4754,4.2,24.0,145,25.6,48.3,2004-09-24 14:00:00
31,2370,1.7,8.9,117,27.1,38.3,2004-06-17 11:00:00
32,6777,0.9,3.6,80,14.9,17.1,2004-12-18 16:00:00
36,8592,3.8,10.9,192,4.3,83.6,2005-03-03 21:00:00
37,7888,1.8,7.0,193,5.8,42.0,2005-02-02 22:00:00
39,2219,1.1,7.5,86,24.2,39.5,2004-06-11 01:00:00
40,8457,2.6,2.9,108,9.7,45.1,2005-02-26 15:00:00
43,9182,1.2,3.0,101,14.4,78.0,2005-03-28 01:00:00
44,1479,2.3,14.4,94,23.8,31.7,2004-05-11 13:00:00
47,3651,2.3,15.1,63,24.3,63.3,2004-08-09 07:00:00
48,8009,1.4,5.0,156,12.0,24.3,2005-02-07 16:00:00
50,8922,2.2,10.9,161,27.8,20.0,2005-03-17 16:00:00
51,2177,2.3,14.0,137,40.6,15.3,2004-06-09 14:00:00
52,4584,2.2,9.7,91,19.7,57.8,2004-09-17 08:00:00
54,5941,1.0,3.8,75,15.2,61.8,2004-11-13 06:00:00
55,1755,2.8,13.9,110,25.2,40.1,2004-05-22 18:00:00
57,1072,1.7,9.0,89,25.6,36.0,2004-04-24 15:00:00
58,7704,0.4,3.9,118,5.0,50.4,2005-01-25 17:00:00
59,5460,1.5,8.1,48,17.5,76.6,2004-10-24 07:00:00
60,3281,0.8,3.0,54,28.2,42.6,2004-07-25 12:00:00
62,6274,2.4,9.1,103,11.9,80.7,2004-11-27 04:00:00
65,8603,1.7,4.7,138,3.9,80.9,2005-03-04 02:00:00
68,4749,3.2,18.4,134,26.6,44.3,2004-09-24 11:00:00
70,1294,2.5,12.9,111,21.4,45.0,2004-05-03 10:00:00
71,8259,2.7,11.0,192,5.4,43.8,2005-02-17 00:00:00
73,5532,1.4,8.0,75,17.8,71.2,2004-10-27 21:00:00
75,3226,1.0,8.2,59,25.1,46.5,2004-07-23 06:00:00
77,2786,1.0,5.9,68,29.6,37.7,2004-07-04 10:00:00
78,5503,0.9,5.9,46,14.8,79.4,2004-10-26 05:00:00
80,2824,1.9,9.8,105,25.4,43.0,2004-07-06 00:00:00
83,5692,7.9,44.1,158,23.0,62.1,2004-11-02 18:00:00
85,6314,3.1,11.4,122,10.5,75.4,2004-11-28 23:00:00
89,6639,2.4,11.3,121,8.1,53.2,2004-12-12 01:00:00
91,6568,1.4,4.7,102,14.3,55.4,2004-12-09 10:00:00
92,1503,1.7,8.7,88,16.9,58.8,2004-05-12 00:00:00
96,2652,1.5,9.7,80,27.8,40.0,2004-06-29 00:00:00
97,8546,2.2,5.3,159,0.8,36.3,2005-03-01 21:00:00
98,8560,1.3,6.3,143,10.1,16.7,2005-03-02 15:00:00
100,4524,1.5,8.6,69,22.1,66.5,2004-09-15 23:00:00
101,8279,2.4,9.8,190,7.0,44.2,2005-02-18 22:00:00
103,6840,4.0,11.5,149,7.9,37.1,2004-12-20 20:00:00
104,8926,3.0,10.8,196,20.8,31.3,2005-03-17 11:00:00
105,6605,4.0,16.5,177,14.6,23.7,2004-12-10 18:00:00
106,6002,2.0,8.7,167,10.7,37.9,2004-11-15 08:00:00
109,4186,1.3,7.0,79,22.8,58.5,2004-09-01 01:00:00
110,4627,1.7,8.5,99,23.6,50.0,2004-09-19 22:00:00
112,3023,2.9,16.7,159,27.8,26.6,2004-07-14 21:00:00
114,7235,1.1,4.0,107,11.4,66.6,2005-01-06 08:00:00
116,2869,1.4,10.6,115,40.3,15.8,2004-07-08 12:00:00
117,8897,2.4,10.9,173,26.1,20.8,2005-03-16 13:00:00
119,4667,0.8,4.4,62,23.5,44.7,2004-09-21 00:00:00
122,2631,1.9,12.1,106,39.6,19.0,2004-06-28 13:00:00
123,8134,3.7,17.1,227,11.1,52.0,2005-02-12 17:00:00
124,3283,0.8,3.0,51,30.0,41.3,2004-07-25 17:00:00
126,6603,2.4,10.6,128,12.9,34.5,2004-12-10 09:00:00
127,8867,0.6,2.4,88,9.3,67.9,2005-03-15 06:00:00
128,2945,0.5,4.1,51,22.0,45.8,2004-07-11 02:00:00
129,2305,1.5,7.0,84,24.8,39.1,2004-06-14 10:00:00
132,7550,0.2,3.7,128,6.4,67.4,2005-01-19 10:00:00
134,6266,8.1,31.6,205,14.6,67.7,2004-11-26 21:00:00
136,1295,3.2,13.1,113,19.3,63.1,2004-05-03 20:00:00
138,4755,4.6,26.9,153,25.4,48.7,2004-09-24 13:00:00
139,8562,1.9,9.0,161,9.7,18.6,2005-03-02 14:00:00
140,8157,2.8,11.9,149,8.7,83.7,2005-02-13 08:00:00
141,8613,4.6,18.5,225,8.4,54.7,2005-03-04 20:00:00
142,7580,2.1,7.0,132,8.1,49.9,2005-01-20 22:00:00
143,5679,3.7,19.1,77,19.3,70.8,2004-11-02 22:00:00
144,8924,2.0,10.2,174,26.7,22.6,2005-03-17 13:00:00
145,2845,1.3,9.9,88,23.9,39.3,2004-07-07 06:00:00
146,6385,5.0,22.9,162,13.0,73.0,2004-12-01 15:00:00
147,5129,1.3,7.7,56,21.3,68.2,2004-10-10 07:00:00
148,2785,1.1,6.1,69,23.7,54.3,2004-07-04 08:00:00
151,624,3.1,14.3,124,15.6,57.4,2004-04-05 10:00:00
152,6584,0.4,0.8,39,11.7,38.1,2004-12-10 06:00:00
153,614,1.7,7.7,89,17.4,51.8,2004-04-05 22:00:00
155,6353,2.2,9.7,108,14.9,58.4,2004-11-30 14:00:00
158,5125,1.5,6.7,63,20.8,68.1,2004-10-10 22:00:00
159,2702,2.3,12.9,102,27.1,47.4,2004-07-01 00:00:00
160,1698,2.1,12.3,117,20.2,42.8,2004-05-20 23:00:00
161,5747,1.5,7.6,59,16.8,73.3,2004-11-05 02:00:00
162,6775,0.8,3.3,68,14.3,18.4,2004-12-18 14:00:00
163,2349,2.2,14.1,107,32.4,25.7,2004-06-16 14:00:00
164,8630,1.6,6.7,136,13.3,28.9,2005-03-05 13:00:00
165,7156,2.8,10.5,167,13.4,43.1,2005-01-02 16:00:00
166,2796,1.5,9.0,93,24.7,38.7,2004-07-05 00:00:00
167,3718,1.6,8.7,86,32.1,38.7,2004-08-12 19:00:00
169,4412,2.4,15.4,151,34.3,17.7,2004-09-10 12:00:00
170,1696,2.0,13.3,107,31.3,22.3,2004-05-20 13:00:00
171,8200,1.2,4.4,134,12.8,19.8,2005-02-15 12:00:00
172,3840,2.0,10.0,119,33.3,28.2,2004-08-17 10:00:00
173,1707,4.0,18.1,83,20.7,46.4,2004-05-20 09:00:00
175,9221,5.1,26.3,140,14.4,65.8,2005-03-29 08:00:00
176,6311,3.2,10.1,113,9.6,76.5,2004-11-28 18:00:00
177,5911,0.6,1.7,50,13.7,64.4,2004-11-12 05:00:00
179,6523,2.6,14.1,117,17.7,51.5,2004-12-07 16:00:00
180,7823,1.0,2.6,118,7.8,28.3,2005-01-30 17:00:00
181,1653,3.4,15.8,135,23.7,30.0,2004-05-18 20:00:00
182,2872,2.4,16.9,167,40.9,14.6,2004-07-08 16:00:00
184,1967,1.6,14.2,83,17.4,50.9,2004-05-31 07:00:00
186,6636,2.1,7.1,110,9.6,51.7,2004-12-12 22:00:00
187,3730,0.5,2.0,34,26.1,60.3,2004-08-13 05:00:00
188,3567,1.9,10.7,110,34.1,33.3,2004-08-06 15:00:00
189,6466,1.0,2.8,81,12.3,67.5,2004-12-05 04:00:00
190,2954,1.5,8.7,108,22.7,43.9,2004-07-11 23:00:00
191,4344,2.2,10.4,74,31.0,29.1,2004-09-07 10:00:00
192,6361,3.6,15.9,141,13.7,70.9,2004-11-30 10:00:00
194,7360,3.2,18.0,147,13.7,57.9,2005-01-11 15:00:00
196,1249,2.4,9.3,84,17.3,68.3,2004-05-01 01:00:00
197,6451,2.9,11.0,90,12.1,79.4,2004-12-04 02:00:00
199,1595,0.8,4.2,58,13.8,51.4,2004-05-16 07:00:00
200,5610,3.0,14.4,106,17.4,79.3,2004-10-30 09:00:00
201,8403,2.7,11.7,223,4.8,78.6,2005-02-23 19:00:00
202,3241,3.0,19.9,156,38.7,20.3,2004-07-23 18:00:00
204,5158,3.4,18.3,99,23.2,52.0,2004-10-11 16:00:00
205,2928,1.3,7.2,94,24.7,38.8,2004-07-10 21:00:00
206,7424,1.3,5.0,109,5.3,80.4,2005-01-14 06:00:00
207,2354,3.3,14.9,128,24.1,46.5,2004-06-16 09:00:00
212,9225,0.7,2.4,68,11.6,74.9,2005-03-30 02:00:00
214,8617,3.9,16.1,194,12.5,43.4,2005-03-04 15:00:00
216,6122,2.8,15.3,214,7.2,43.2,2004-11-20 09:00:00
219,8379,3.5,15.0,255,6.1,74.0,2005-02-22 10:00:00
220,5501,8.4,44.5,149,21.0,64.9,2004-10-25 18:00:00
221,4569,0.5,3.2,40,20.6,56.6,2004-09-17 02:00:00
222,4801,1.9,8.6,115,18.0,42.7,2004-09-26 22:00:00
223,6120,1.2,8.4,149,9.5,35.9,2004-11-20 20:00:00
225,7605,4.5,22.6,174,7.2,62.2,2005-01-21 08:00:00
226,6010,0.8,2.2,73,11.0,42.6,2004-11-16 02:00:00
227,5429,8.4,40.0,163,24.3,54.3,2004-10-22 18:00:00
228,4542,0.5,2.6,49,21.7,67.4,2004-09-16 02:00:00
230,7461,2.7,11.6,177,7.5,64.4,2005-01-15 12:00:00
231,5694,0.5,2.7,35,16.8,71.9,2004-11-03 05:00:00
235,7827,1.6,3.9,163,5.0,31.1,2005-01-30 20:00:00
241,9187,1.4,4.2,96,21.6,46.8,2005-03-28 12:00:00
243,7131,3.0,12.1,165,10.9,39.7,2005-01-01 17:00:00
245,2348,2.4,13.7,110,32.7,25.8,2004-06-16 13:00:00
246,8035,0.6,1.6,92,6.1,43.6,2005-02-08 06:00:00
248,7411,3.2,12.8,178,13.1,58.5,2005-01-13 12:00:00
250,7988,1.4,3.7,149,5.8,35.4,2005-02-06 21:00:00
252,1074,1.9,10.7,95,27.0,31.8,2004-04-24 16:00:00
255,1647,1.9,11.0,103,27.4,22.8,2004-05-18 11:00:00
256,6158,2.4,16.2,232,4.9,55.8,2004-11-22 08:00:00
257,3289,1.5,6.8,88,27.3,44.1,2004-07-25 22:00:00
258,5085,3.6,21.2,100,27.7,39.2,2004-10-08 13:00:00
259,2553,0.9,3.6,52,24.8,43.4,2004-06-25 02:00:00
260,6076,4.2,19.7,251,15.8,50.1,2004-11-18 12:00:00
261,8915,1.2,4.4,111,13.3,51.4,2005-03-17 01:00:00
262,6885,2.9,9.9,153,6.8,36.1,2004-12-22 18:00:00
263,6253,2.5,9.5,114,9.3,64.5,2004-11-26 00:00:00
264,7832,0.4,0.4,37,3.7,37.7,2005-01-31 04:00:00
266,2236,4.6,24.8,131,20.5,48.2,2004-06-11 07:00:00
267,3482,1.9,9.1,68,27.3,57.1,2004-08-02 00:00:00
268,5520,4.5,26.4,158,24.9,48.3,2004-10-26 14:00:00
270,3865,1.6,8.5,70,31.3,39.5,2004-08-18 20:00:00
272,2500,4.1,23.1,148,29.0,30.4,2004-06-22 19:00:00
273,3310,1.5,5.9,93,26.6,47.2,2004-07-26 00:00:00
274,1556,2.3,12.4,111,20.8,34.5,2004-05-14 22:00:00
275,4625,1.8,8.3,106,34.6,22.4,2004-09-19 16:00:00
276,6327,2.0,9.8,90,8.7,83.7,2004-11-29 07:00:00
277,2660,3.2,15.5,121,28.3,39.8,2004-06-29 09:00:00
278,7137,1.0,2.4,82,2.4,71.9,2005-01-02 06:00:00
279,5149,1.1,7.2,53,18.6,74.9,2004-10-11 06:00:00
280,868,5.9,28.1,149,18.3,44.1,2004-04-15 18:00:00
283,3599,1.6,8.3,86,32.2,37.4,2004-08-07 19:00:00
284,6437,6.9,32.6,173,17.7,68.3,2004-12-03 17:00:00
285,4403,1.0,5.5,75,24.4,39.1,2004-09-10 01:00:00
286,6213,3.4,17.4,160,13.7,66.8,2004-11-24 16:00:00
288,7576,1.7,6.4,120,7.3,52.8,2005-01-20 23:00:00
289,7972,4.1,11.3,310,4.1,52.7,2005-02-05 09:00:00
290,8708,1.4,5.4,167,6.6,46.0,2005-03-08 23:00:00
291,6384,5.0,24.6,145,9.5,78.3,2004-12-01 09:00:00
292,5947,2.3,9.1,142,17.2,51.5,2004-11-13 20:00:00
293,9008,0.8,2.7,81,13.1,68.6,2005-03-21 03:00:00
294,8234,3.4,15.9,171,7.0,43.4,2005-02-16 19:00:00
295,9186,1.3,4.9,101,16.4,67.3,2005-03-28 09:00:00
296,1126,1.6,6.9,75,20.2,30.7,2004-04-26 13:00:00
297,5894,2.1,9.4,132,9.3,73.5,2004-11-11 01:00:00
298,661,1.4,6.1,79,14.4,51.8,2004-04-07 14:00:00
299,2079,1.3,7.3,75,27.6,35.1,2004-06-05 15:00:00
300,7524,0.1,3.3,104,11.3,71.8,2005-01-18 22:00:00
301,1695,2.2,12.4,117,26.1,30.0,2004-05-20 10:00:00
302,5142,0.5,1.4,32,19.4,70.4,2004-10-11 02:00:00
303,5155,2.7,15.2,91,21.1,64.0,2004-10-11 12:00:00
